gender,forecast_date,playin_flag,rd1_win,rd2_win,rd3_win,rd4_win,rd5_win,rd6_win,rd7_win,results_to,team_alive,team_id,team_name,team_rating,team_region,team_seed,team_slot
mens,2023-03-12,0,1.0,0.64129150159,0.220488885878,0.079115188756,0.023375051447,0.009766824256,0.002960999765,1,1,328,Utah State,83.49,South,10,26
mens,2023-03-12,0,1.0,0.334769300634,0.183337742144,0.087232951071,0.035385952467,0.010335084618,0.002769237944,1,1,2507,Providence,82.78,East,11,50
mens,2023-03-12,0,1.0,0.588040224598,0.188422845043,0.066083872646,0.025457429509,0.006229999814,0.00213797561,1,1,68,Boise State,82.62,West,10,90
mens,2023-03-12,1,0.566602315227,0.253746698927,0.12784999854,0.043424450478,0.012910367139,0.005268096681,0.002091090102,0,1,344,Mississippi State,81.84,Midwest,11a,114
mens,2023-03-12,0,1.0,0.374807167118,0.109637271521,0.051896399138,0.014634719405,0.005419325782,0.001969445918,1,1,213,Penn State,82.66,Midwest,10,122
mens,2023-03-12,0,1.0,0.389104224882,0.093041506934,0.035545179555,0.015483192942,0.005273779937,0.001629491017,1,1,2226,Florida Atlantic,82.56,East,9,38
mens,2023-03-12,0,1.0,0.363807205557,0.118785667302,0.048375166697,0.01559562053,0.005284941883,0.001625198951,1,1,30,Southern California,83.05,East,10,58
mens,2023-03-12,0,1.0,0.404810344027,0.151291585513,0.032887244405,0.012832842716,0.004298003176,0.001425941064,1,1,2181,Drake,81.17,Midwest,12,106
mens,2023-03-12,0,1.0,0.411959775402,0.109556408827,0.033905212921,0.011697027067,0.003200814349,0.001209320281,1,1,77,Northwestern,82.24,West,7,88
mens,2023-03-12,0,1.0,0.35870849841,0.091266610909,0.033241696394,0.009963659829,0.004049098133,0.001193064433,1,1,142,Missouri,81.39,South,7,24
mens,2023-03-12,0,1.0,0.215446046937,0.073438902957,0.029750304812,0.008982630682,0.003394786273,0.000929065156,1,1,152,North Carolina State,81.44,South,11,18
mens,2023-03-12,0,1.0,0.403280017177,0.100335478502,0.027244121421,0.00758382234,0.001880798417,0.000652929566,1,1,2670,Virginia Commonwealth,81.35,West,12,74
mens,2023-03-12,1,0.544271862509,0.183004807945,0.050300470722,0.01923003263,0.007440523885,0.001812217976,0.00061934442,0,1,9,Arizona State,80.36,West,11a,82
mens,2023-03-12,0,1.0,0.329054713584,0.144551299754,0.024630974822,0.007780757514,0.002477574466,0.000571266765,1,1,232,College of Charleston,79.76,South,12,10
mens,2023-03-12,1,0.433397684773,0.168909855849,0.07657618998,0.020338444215,0.004805132601,0.001519225408,0.000478365123,0,1,221,Pittsburgh,79.64,Midwest,11b,115
mens,2023-03-12,0,1.0,0.262903778999,0.1140139307,0.016878422444,0.004885264926,0.001354116528,0.000378348493,1,1,2309,Kent State,79.37,Midwest,13,110
mens,2023-03-12,1,0.455728137491,0.137882016611,0.034459594809,0.012308907783,0.004472284643,0.000978926337,0.000304754157,0,1,2440,Nevada,79.6,West,11b,83
mens,2023-03-12,0,1.0,0.180490444807,0.050970670553,0.011794059847,0.003755854562,0.001053058832,0.000271687165,1,1,198,Oral Roberts,79.18,East,12,42
mens,2023-03-12,0,1.0,0.278344338633,0.093642642401,0.014426835217,0.004204946703,0.001193656649,0.000245734168,1,1,231,Furman,78.22,South,13,14
mens,2023-03-12,0,1.0,0.152795281418,0.067561356799,0.014591015987,0.00329897741,0.000664993696,0.00019249176,1,1,314,Iona,79.58,West,13,78
mens,2023-03-12,0,1.0,0.132541166387,0.027306706162,0.004446776429,0.001050228471,0.000241849174,5.1983881e-05,1,1,309,Louisiana-Lafayette,76.36,East,13,46
mens,2023-03-12,0,1.0,0.110532116297,0.027714483877,0.007624229598,0.001652994579,0.00026958006,4.1972635e-05,1,1,261,Vermont,76.24,East,15,62
mens,2023-03-12,0,1.0,0.084078615439,0.01959255356,0.004244880683,0.000967263381,0.000137524547,2.9050332e-05,1,1,2253,Grand Canyon,75.91,West,14,86
mens,2023-03-12,0,1.0,0.078371339584,0.016980115081,0.00424863327,0.000601804157,0.000120433896,2.4976372e-05,1,1,2142,Colgate,76.17,Midwest,15,126
mens,2023-03-12,0,1.0,0.148302653349,0.020954884062,0.003595491168,0.000533059855,8.4878199e-05,1.2920937e-05,1,1,147,Montana State,75.32,East,14,54
mens,2023-03-12,0,1.0,0.11095873798,0.017864517456,0.003032561485,0.00038668092,8.1686625e-05,1.2599586e-05,1,1,2540,UC-Santa Barbara,75.51,South,14,22
mens,2023-03-12,0,1.0,0.058973706689,0.01132154247,0.001902063935,0.000272903339,5.3207467e-05,7.59079e-06,1,1,163,Princeton,74.83,South,15,30
mens,2023-03-12,0,1.0,0.125912032151,0.022730161973,0.00244908814,0.00024664114,3.8690452e-05,6.402722e-06,1,1,338,Kennesaw State,73.28,Midwest,14,118
mens,2023-03-12,0,1.0,0.02606108578,0.003278247866,0.000609390597,8.9744071e-05,1.3023396e-05,2.003985e-06,1,1,94,Northern Kentucky,72.87,Midwest,16,98
mens,2023-03-12,0,1.0,0.045397485591,0.007165233637,0.000698166238,8.3273286e-05,9.025377e-06,1.482937e-06,1,1,2427,North Carolina-Asheville,73.02,West,15,94
mens,2023-03-12,1,0.541803755089,0.008747315085,0.000897192057,0.000123743501,1.3026458e-05,2.090546e-06,2.46821e-07,0,1,357,Texas A&M-Corpus Christi,69.92,South,16a,2
mens,2023-03-12,1,0.458196244911,0.006046023745,0.000515677303,6.5765696e-05,6.405937e-06,6.54862e-07,4.982e-08,0,1,2546,Southeast Missouri State,67.7,South,16b,3
mens,2023-03-12,0,1.0,0.021759725729,0.001374123682,9.6663874e-05,5.977597e-06,3.65894e-07,3.4964e-08,1,1,47,Howard,69.29,West,16,66
mens,2023-03-12,1,0.568215068796,0.009067275502,0.000565127131,2.9802361e-05,2.10014e-06,2.05894e-07,1.9773e-08,0,1,2640,Texas Southern,66.56,East,16a,34
mens,2023-03-12,1,0.431784931204,0.005747466819,0.000301564531,1.9862548e-05,1.736396e-06,7.0102e-08,2.846e-09,0,1,161,Fairleigh Dickinson,64.39,East,16b,35
womens,2023-03-12,0,1.0,0.999658116662,0.990963613012,0.970026666021,0.906681749425,0.75700678235,0.644121957706,1,1,2579,South Carolina,110.03,Greenville 1,1,0
womens,2023-03-12,0,1.0,0.99694316692,0.945569586658,0.798350993487,0.544593193966,0.327937818455,0.084331937822,1,1,84,Indiana,98.69,Greenville 2,1,96
womens,2023-03-12,0,1.0,0.999555310575,0.946550581864,0.709455894466,0.515355104927,0.121634242159,0.073768305499,1,1,24,Stanford,100.55,Seattle 4,1,32
womens,2023-03-12,0,1.0,0.995980908811,0.934237291439,0.701216684328,0.43972452385,0.229164954029,0.053628673657,1,1,41,Connecticut,98.57,Seattle 3,2,92
womens,2023-03-12,0,1.0,0.98069315117,0.779603560682,0.540912836571,0.252384934535,0.145069123206,0.034774906441,1,1,99,Louisiana State,96.14,Greenville 2,3,116
womens,2023-03-12,0,1.0,0.996846267174,0.903944798233,0.69488290506,0.280493837894,0.055491061722,0.030405894725,1,1,2294,Iowa,97.18,Seattle 4,2,60
womens,2023-03-12,0,1.0,0.99603283898,0.902666207929,0.530408003096,0.256610424232,0.117955971985,0.02325885896,1,1,259,Virginia Tech,95.71,Seattle 3,1,64
womens,2023-03-12,0,1.0,0.979774255343,0.780677262312,0.22830293875,0.120755473867,0.024427011963,0.013600979668,1,1,251,Texas,95.2,Seattle 4,4,44
womens,2023-03-12,0,1.0,0.979897433386,0.74365912613,0.335840225454,0.14189292032,0.058347827672,0.009954112353,1,1,2633,Tennessee,93.44,Seattle 3,4,76
womens,2023-03-12,0,1.0,0.990825523517,0.807992880808,0.435558395212,0.038634222789,0.015000736233,0.006631058472,1,1,87,Notre Dame,93.81,Greenville 1,3,20
womens,2023-03-12,0,1.0,0.986815581786,0.858208057278,0.459563254163,0.040628514479,0.014613009933,0.006039514359,1,1,120,Maryland,93.58,Greenville 1,2,28
womens,2023-03-12,0,1.0,0.987970881624,0.796186865583,0.293595207737,0.089805353764,0.035450158573,0.005072407351,1,1,254,Utah,92.14,Greenville 2,2,124
womens,2023-03-12,0,1.0,0.960601955591,0.678664475426,0.195664285833,0.078421827673,0.026309366736,0.003477123933,1,1,194,Ohio State,91.02,Seattle 3,3,84
womens,2023-03-12,0,1.0,0.823429132182,0.23675724194,0.099171543665,0.03914153683,0.014468971978,0.002167518366,1,1,66,Iowa State,90.95,Seattle 3,5,72
womens,2023-03-12,0,1.0,0.984299773825,0.772079271093,0.21154051129,0.042548691283,0.003991625561,0.001321764421,1,1,150,Duke,90.12,Seattle 4,3,52
womens,2023-03-12,0,1.0,0.898550496507,0.700941061982,0.141515371567,0.050678198545,0.014043035127,0.001308921044,1,1,222,Villanova,88.53,Greenville 2,4,108
womens,2023-03-12,0,1.0,0.851616783868,0.20655065115,0.04432840212,0.019230068117,0.002505547126,0.001053569561,1,1,97,Louisville,91.52,Seattle 4,5,40
womens,2023-03-12,0,1.0,0.774131768796,0.276513533422,0.072268185894,0.02678346667,0.008435825178,0.001038295706,1,1,153,North Carolina,89.68,Seattle 3,6,80
